=========================================
BOLLINGER BANDS SQUEEZE BREAKOUT STRATEGY
=========================================
Symbols: ['DOGE/USD']
Period: 1825 days (5.0 years)
Timeframes: Trade=1min, Signal=4h, ATR=1h
BB: 19 period, 2.47 std
2025-06-21   ▼ SHORT $          0 $          0      $+54,015 16h          SQ14 V5.2 M-3.0 RSI37
2025-06-24   ▼ SHORT $          0 $          0      $+10,021 7d 0h        SQ5 V3.3 M-0.2 RSI50
2025-07-27   ▼ SHORT $          0 $          0      $+23,416 1d 1h        SQ8 V1.2 M-1.4 RSI55
2025-08-01   ▼ SHORT $          0 $          0      $+53,220 22h          SQ10 V1.3 M-3.7 RSI29
2025-08-13   ▲ LONG  $          0 $          0      $-37,905 1d 4h        SQ2 V2.5 M2.0 RSI54
2025-08-22   ▲ LONG  $          0 $          0      $-45,415 3d 3h        SQ8 V5.6 M2.5 RSI65
2025-09-12   ▲ LONG  $          0 $          0      $+23,118 16h          SQ8 V1.4 M4.6 RSI67
2025-10-01   ▲ LONG  $          0 $          0      $+33,571 14h          SQ12 V2.4 M3.1 RSI64
2025-10-06   ▲ LONG  $          0 $          0      $-28,734 22h          SQ10 V1.1 M2.6 RSI60
2025-11-03   ▼ SHORT $          0 $          0      $+32,518 1d 1h        SQ2 V1.5 M-4.6 RSI46
2025-11-12   ▼ SHORT $          0 $          0      $+29,574 6h           SQ11 V1.7 M-0.6 RSI45
2025-11-17   ▼ SHORT $          0 $          0      $-66,742 3d 11h       SQ9 V3.9 M-4.0 RSI38
2025-11-27   ▲ LONG  $          0 $          0      $-27,740 3d 11h       SQ8 V1.6 M3.4 RSI63
2025-12-14   ▼ SHORT $          0 $          0      $+14,720 20h          SQ4 V2.2 M-3.8 RSI39
2025-12-17   ▼ SHORT $          0 $          0      $-34,690 4d 16h       SQ2 V6.7 M-3.4 RSI28
--------------------------------------------------------------------------------------------------

Wins: 88 | Losses: 39
Longs: 51 | Shorts: 76

===========================
BACKTEST RESULTS
===========================
Total Trades:    127
Win Rate:        69.3%
Profit Factor:   2.13
Total P&L:       $+931,241
Max Drawdown:    15.3%
Sharpe Ratio:    2.79
Final Equity:    $1,009,644
Return:          +909.6%
===========================
Equity plot saved to equity_curve_DOGEUSD.png
